sep=,
X,Y,Z
-134.261,28.3504,36.5309
-134.929,29.9862,36.1012
-135.839,31.0046,35.5348
-136.831,32.1535,35.1265
-137.341,33.5189,34.8778
-137.842,35.3458,34.7887
-138.201,36.808,34.8087
-138.58,38.3277,34.7699
-138.69,39.5623,34.6741
-138.647,40.8149,34.7025
-138.559,41.4694,34.834
-138.824,42.0194,35.0839
-139.066,42.5688,35.4541
-139.063,43.1601,35.6486
-138.949,43.9416,35.3506
-138.786,44.6564,35.1217
-138.632,45.5228,34.9375
-138.409,46.5553,34.4683
-138.219,47.1207,34.123
-138.026,47.6487,34.2064
-137.669,47.8736,34.5989
-137.558,47.8804,34.9851
-137.593,48.2724,35.0705
-137.543,48.6466,35.2717
-137.596,48.8115,35.7069
-137.366,48.8356,35.7777
-137.115,48.8839,35.4192
-136.972,48.7654,35.2317
-137.029,48.9329,35.0476
-137.398,49.2616,34.7805
-137.925,49.5429,34.759
-138.015,49.5828,34.6979
-138.317,50.1322,34.4949
-138.66,50.538,34.7439
-139.013,50.5783,35.0366
-139.344,50.4886,35.2187
-139.493,50.7745,34.9151
-139.481,50.9841,34.7754
-139.438,50.5627,35.2696
-139.656,50.6797,35.3419
-139.922,50.8465,35.0137
-140.076,51.1278,34.673
-140.389,51.8922,34.3741
-140.359,52.2501,34.2866
-140.865,52.4138,34.5128
-141.356,52.5656,34.7939
-141.566,52.539,34.6075
-141.34,52.7266,34.1009
-141.257,52.6905,33.9038
-141.578,52.3617,33.9356
-141.908,51.9234,34.0308
-142.188,51.6232,34.1139
-142.335,51.6629,34.3651
-142.274,51.8045,34.5333
-142.242,52.2341,34.5967
-142.066,52.4362,34.5244
-142.071,52.4255,34.44
-142.009,52.3818,34.295
-141.858,52.5729,34.4707
-141.913,52.7124,34.4844
-141.938,52.7386,34.235
-141.962,52.7419,34.3712
-141.893,52.8291,34.6179
-141.998,53.1436,34.6657
-141.828,53.5017,34.6708
-141.747,53.5764,34.6156
-141.587,53.4142,34.4368
-141.43,53.265,34.4199
-141.356,53.0878,34.4131
-141.138,53.0062,34.6841
-141.163,53.0031,34.9202
-141.226,53.0004,35.0739
-141.154,53.2545,35.3731
-141.083,53.4346,35.4579
-141.06,53.5223,35.2782
-141.11,53.7235,35.2111
-141.163,54.3775,35.2288
-141.294,55.3132,35.2296
-141.428,56.4126,35.2089
-141.619,57.6215,35.4095
-141.758,59.5128,35.6523
-142.191,61.7739,35.7798
-142.631,63.621,35.7486
-143.218,65.4303,35.3472
-143.648,67.9924,35.0545
-144.076,70.6754,34.8411
-144.442,73.4208,34.7374
-144.879,75.9793,34.4457
-145.044,78.705,34.2775
-145.026,81.7162,34.3325
-144.97,85.1788,34.4488
-144.821,88.4905,34.3705
-144.874,91.627,33.9354
-144.883,94.4633,33.2183
-145.153,97.3922,32.4524
-145.391,100.344,31.8163
-145.527,103.648,31.2925
-145.449,106.653,30.6914
-145.549,109.307,30.0883
-145.356,111.463,29.5486
-144.983,113.714,28.56
-144.026,115.968,27.5404
-142.971,117.995,26.5723
-142.025,119.938,25.6001
-141.04,121.839,24.4795
-139.766,123.277,23.3787
-138.201,124.782,22.6755
-136.641,125.738,21.6803
-134.877,125.677,20.1642
-132.678,125.714,18.8105
-129.837,125.943,17.6126
-126.66,125.92,15.6964
-123.155,125.165,13.6275
-119.355,124.192,11.385
-115.37,123.161,8.88453
-111.359,121.328,6.02499
-106.943,119.008,2.98479
-102.556,116.371,-0.166069
-98.0582,113.663,-3.40957
-93.8052,111.108,-6.63105
-89.8193,108.151,-9.92414
-86.156,104.994,-13.2241
-82.566,101.705,-16.3515
-79.2026,98.1923,-19.3357
-75.4412,93.274,-22.5496
-72.3085,88.8462,-25.4516
-68.9993,84.359,-28.4861
-65.7085,79.9043,-31.2369
-62.8191,75.4683,-33.5547
-60.718,71.7354,-35.3658
-58.665,67.5578,-37.3126
-57.5,64.3514,-38.5577
-56.7878,60.9035,-39.7789
-56.4868,57.7375,-41.0573
-56.3368,55.6619,-41.7665
-56.43,53.6364,-42.6973
-56.967,51.996,-43.2101
-57.646,50.5968,-44.0275
-58.362,49.5386,-44.7836
-58.6823,48.6708,-45.5265
-59.0909,47.6704,-46.0123
-59.4287,46.5629,-46.5468
-59.8863,45.6718,-47.0273
-60.129,45.4111,-47.5515
-60.3503,45.1085,-47.9083
-60.6995,44.6922,-48.4568
-60.8364,44.6625,-48.6342
-61.1529,44.5874,-49.0124
-61.5199,44.6939,-49.1927
-61.8572,44.8669,-49.7164
-62.3487,45.2753,-50.1672
-63.0495,46.1167,-50.538
-63.9417,47.2136,-50.5709
-64.9672,48.4722,-50.7802
-66.1742,49.9599,-50.8379
-67.3927,51.7929,-51.0149
-69.0702,54.398,-50.8911
-70.4026,56.7732,-51.0201
-72.0544,60.0976,-51.2098
-74.1384,64.2008,-51.1427
-75.9601,67.5301,-51.1792
-78.1072,70.9079,-51.2569
-80.413,74.559,-51.3988
-82.4563,78.4679,-51.5591
-84.9339,83.1897,-51.5903
-87.2064,86.8699,-51.6933
-89.3853,90.5179,-52.0079
-91.3394,94.2488,-52.4224
-93.8128,98.4675,-52.8448
-95.8368,101.734,-53.459
-97.636,104.83,-54.1796
-99.4441,107.551,-54.6933
-101.164,109.783,-55.398
-102.461,111.31,-56.7317
-103.352,112.522,-58.1423
-104.39,112.948,-59.7849
-105.098,112.485,-61.5846
-105.92,111.58,-63.224
-106.458,110.399,-65.0947
-106.794,109.142,-66.1763
-107.22,107.56,-66.8832
-107.657,105.099,-67.951
-107.852,102.701,-69.137
-108.029,99.3543,-70.2111
-107.855,96.7985,-71.0393
-107.38,93.4683,-71.9628
-106.873,89.9558,-72.5839
-106.334,86.0299,-73.0835
-105.475,81.9574,-73.7668
-104.552,77.5212,-74.6274
-103.595,72.8586,-75.5038
-102.392,68.016,-76.2116
-101.101,61.9281,-76.3625
-99.8863,56.5198,-76.4036
-98.3076,51.0248,-76.4295
-96.5941,45.0569,-76.7366
-94.9179,39.8932,-76.738
-93.1694,34.7105,-76.7161
-91.6607,30.0226,-76.5007
-89.9134,25.3994,-76.161
-88.5882,22.0287,-75.899
-87.284,19.0032,-75.1643
-86.4598,17.4795,-74.422
-85.8891,16.8421,-73.8958
-85.6862,16.9066,-73.7921
-85.6936,16.9813,-73.7125
-85.8291,17.4355,-74.1687
-86.0155,17.3858,-74.0829
-86.2334,17.5777,-74.3021
-86.2652,17.705,-74.4305
-86.2823,17.3839,-74.3455
-86.308,17.1485,-74.5871
-86.115,16.7389,-74.5621
-85.7668,16.3533,-74.4125
-85.0305,15.9738,-74.0134
-84.0843,15.7912,-73.4932
-82.8422,15.7083,-72.987
-81.5686,16.1797,-72.4559
-79.9778,16.8749,-71.9005
-78.7078,17.1674,-71.4584
-77.4472,17.4335,-70.6574
-76.0673,18.018,-69.877
-74.515,18.8165,-69.1982
-73.0544,19.3648,-68.4225
-71.2536,20.072,-67.4669
-69.3273,20.6055,-66.3057
-67.4641,20.9777,-65.1414
-65.7035,20.8768,-64.0353
-63.8023,20.7042,-62.8011
-61.8122,20.3273,-61.5353
-59.8395,19.9675,-59.7807
-57.6107,19.5961,-58.1009
-55.1948,19.0217,-56.5651
-52.8525,18.29,-54.828
-50.4997,17.6883,-53.1432
-47.9632,16.9192,-51.3312
-45.44,16.0738,-49.8787
-43.0084,15.2651,-48.5062
-40.8299,14.587,-46.8564
-38.207,14.2589,-45.2017
-36.468,14.1491,-43.8238
-34.3497,13.8482,-42.3225
-32.4423,13.6625,-41.0284
-30.633,13.1585,-39.7705
-28.6377,12.84,-38.5959
-26.8112,12.6523,-37.6696
-25.147,12.7988,-36.3901
-23.7171,12.8231,-34.9587
-22.6415,12.8905,-33.7345
-21.5506,13.2331,-32.6013
-20.3669,13.6309,-31.4402
-19.059,13.5787,-30.2814
