sep=,
X,Y,Z
130.775,19.8864,-95.2218
148.286,32.4786,-77.5777
149.614,33.6066,-106.368
156.109,38.3676,-109.55
147.84,31.7093,-28.0713
146.601,30.9554,-41.9144
122.764,12.649,-47.3257
123.724,12.7234,-50.1901
130.337,17.9004,-51.422
121.608,11.3183,-51.1622
131.829,19.4107,-54.6812
134.202,21.0801,-57.5919
129.177,17.9307,-62.6155
135.329,22.2913,-63.8957
123.276,12.8582,-69.5085
137.595,24.1059,-65.6729
128.68,16.6864,-72.1041
129.676,17.4104,-93.2742
133.75,21.3655,-101.385
150.016,33.5207,-108.867
155.48,37.5664,-117.083
125.145,13.7335,-49.2212
127.499,14.8529,-51.3482
124.132,11.9347,-53.6271
126.963,14.5424,-56.2596
128.002,15.9792,-58.4532
131.186,17.941,-59.7051
133.523,19.5584,-60.4926
136.415,21.8782,-67.4446
142.095,27.0289,-71.7927
131.628,18.2403,-82.937
150.474,33.4232,-108.461
146.301,29.5953,-40.7692
129.844,15.6055,-50.7293
135.904,21.2004,-52.0689
121.87,9.59425,-52.5427
131.488,17.0459,-54.3614
124.115,11.6391,-54.3646
125.808,12.3881,-55.3949
133.539,19.0789,-56.7364
130.111,15.6823,-57.7732
132.208,17.382,-59.2896
131.436,17.2976,-64.981
137.309,22.3767,-64.206
133.004,18.7566,-66.6667
131.65,17.4895,-68.937
129.352,15.4611,-72.9807
130.909,17.1533,-93.6823
151.072,33.2659,-108.146
147.497,29.9608,-27.2339
123.69,10.0925,-50.0965
123.563,9.16076,-51.7036
121.28,7.49318,-52.2626
126.596,11.9267,-54.8526
132.756,17.1653,-55.7184
127.806,13.0399,-57.6786
129.159,14.4673,-62.4487
144.231,27.28,-60.1166
142.157,25.1873,-71.6274
134.32,19.077,-100.669
151.467,33.2754,-84.5654
145.605,28.448,-99.054
149.738,31.9868,-105.301
150.237,32.2597,-118.646
154.928,36.1598,-108.973
145.713,28.0348,-39.6947
129.313,13.5847,-50.0077
123.591,7.83152,-50.0403
124.376,8.3783,-51.1598
126.547,10.8057,-53.6667
131.826,15.1362,-54.4479
128.656,12.7776,-55.6386
129.832,13.7983,-60.3509
129.746,13.381,-61.5253
136.757,20.2897,-62.7686
130.125,13.5265,-72.5794
130.234,14.1526,-73.5982
138.227,21.3691,-70.9666
141.23,23.8367,-73.0358
139.971,22.6406,-77.9158
128.965,13.1657,-89.9285
147.786,29.8712,-75.6875
142.86,24.9652,-112.137
144.305,26.62,-113.839
145.365,27.5967,-114.877
146.105,28.1456,-115.522
152.663,33.8412,-108.105
153.72,34.842,-108.34
147.331,28.5241,-26.5601
145.077,26.2989,-38.3438
128.836,11.2065,-49.1888
135.355,17.5676,-51.0814
130.796,13.0555,-53.2836
126.346,9.2859,-53.45
122.705,6.03254,-59.3785
131.993,14.6369,-59.644
131.412,14.5298,-62.6358
133.135,15.2631,-65.6386
125.159,8.3325,-70.5307
131.978,15.058,-69.604
130.402,12.6748,-74.0984
130.299,12.6906,-75.7926
141.509,23.5899,-77.6843
131.331,14.3028,-92.2283
141.652,23.5885,-110.232
146.36,27.8067,-117.102
146.915,28.5361,-116.282
151.906,32.7765,-107.841
152.344,33.049,-107.885
157.234,37.655,-91.2975
123.682,5.73442,-49.9781
129.667,11.0205,-52.0034
126.176,7.51415,-52.6297
131.01,12.1777,-54.0629
131.581,13.3989,-56.5836
127.646,9.04413,-57.6276
136.34,18.0301,-61.5918
144.128,24.8991,-60.4253
134.495,16.2819,-67.7243
131.958,13.5572,-70.2209
139.795,21.0674,-74.0207
135.481,16.3782,-99.3874
140.096,21.3407,-107.059
144.017,23.8737,-36.7063
128.341,9.20047,-48.464
128.655,8.9979,-50.6009
126.017,6.64785,-52.1504
120.138,0.355465,-56.3921
134.234,14.6758,-63.5008
129.388,9.672,-72.5314
131.02,11.1222,-73.799
135.933,16.0118,-71.3577
142.201,22.6266,-71.3181
146.218,26.5887,-98.1641
149.719,29.9863,-103.883
146.141,25.9593,-117.455
127.684,7.3001,-49.2535
125.306,4.64933,-50.6789
126.125,4.58422,-50.9653
125.579,4.12521,-52.7227
130.842,9.92934,-53.9202
125.708,5.15335,-54.5858
136.047,15.7395,-60.4777
132.615,11.9765,-71.0329
136.728,16.146,-73.3811
